"domanda","risposta_0","risposta_1","risposta_2","risposta_3","corretta"
"Qual è il principale gas responsabile dell'effetto serra?","Ossigeno","Azoto","Anidride carbonica","Idrogeno","2"
"Cosa si intende per 'impronta ecologica'?","La superficie di suolo inquinata da un'industria","La misura della domanda umana sulle risorse naturali della Terra","Il perimetro di una foresta protetta","Il peso totale dei rifiuti prodotti","1"
"Quale percentuale della superficie terrestre è ricoperta da oceani?","50%","61%","71%","81%","2"
"Cos'è la fotosintesi clorofilliana?","La respirazione delle piante durante la notte","Il processo con cui le piante producono ossigeno usando luce e CO2","L'assorbimento di acqua da parte delle radici","La decomposizione delle foglie cadute","1"
"Quale delle seguenti è una fonte di energia rinnovabile?","Carbone","Petrolio","Gas naturale","Energia solare","3"
"In quale strato dell'atmosfera si trova lo strato di ozono?","Troposfera","Stratosfera","Mesosfera","Termosfera","1"
"Cosa significa 'biodiversità'?","La varietà di specie viventi in un ecosistema","La quantità di piante in una foresta","Il numero di animali in uno zoo","La diversità dei terreni agricoli","0"
"Quale protocollo internazionale mira a ridurre le emissioni di gas serra?","Protocollo di Barcellona","Protocollo di Kyoto","Accordo di Vienna","Convenzione di Ginevra","1"
"Cosa si intende per 'energia geotermica'?","Energia prodotta dal vento","Energia ricavata dal calore interno della Terra","Energia prodotta dalle maree","Energia solare riflessa dalla Luna","1"
"Qual è la principale causa della deforestazione nel mondo?","Gli incendi boschivi naturali","L'espansione agricola e l'allevamento","Le piogge acide","I terremoti","1"
"Quale animale è il simbolo del WWF?","Tigre del Bengala","Orso polare","Panda gigante","Elefante africano","2"
"Cosa produce una centrale eolica?","Calore","Elettricità dal vento","Gas metano","Acqua potabile","1"
"Quale sostanza chimica ha causato il buco nell'ozono?","Anidride carbonica","Metano","Clorofluorocarburi (CFC)","Ossido di azoto","2"
"Cos'è un ecosistema?","Un insieme di soli organismi vegetali","L'insieme di organismi viventi e il loro ambiente fisico","Una riserva naturale protetta dallo stato","Un laboratorio per lo studio della natura","1"
"Cosa si intende per 'sviluppo sostenibile'?","Uno sviluppo economico rapido e intensivo","Uno sviluppo che soddisfa i bisogni presenti senza compromettere quelli futuri","La costruzione di edifici ecologici","L'uso esclusivo di materiali naturali","1"
"Quale gas viene rilasciato dalla decomposizione dei rifiuti organici nelle discariche?","Ossigeno","Azoto","Metano","Anidride solforosa","2"
"Cos'è il ciclo dell'acqua?","Il percorso dell'acqua nelle tubature","La continua circolazione dell'acqua tra atmosfera, terra e oceani","Il processo di depurazione dell'acqua potabile","Il ciclo di irrigazione dei campi","1"
"Quale colore di cestino si usa per la carta in Italia?","Verde","Giallo","Azzurro/Blu","Grigio","2"
"Cosa significa l'acronimo CO2?","Monossido di cobalto","Diossido di calcio","Anidride carbonica","Ossido di carbonio","2"
"Qual è la foresta pluviale più grande del mondo?","Foresta del Congo","Foresta Amazzonica","Foresta Boreale siberiana","Foresta di Daintree","1"
